District,Male,,Female,,Total
HAFIZABAD,"439,770",54.24%,"370,953",45.76%,"810,723"
JHANG,"936,055",53.37%,"817,944",46.63%,"1,753,999"
JHELUM,"543,761",51.47%,"512,719",48.53%,"1,056,480"
KASUR,"1,234,353",54.94%,"1,012,360",45.06%,"2,246,713"
KHANEWAL,"1,043,272",53.70%,"899,361",46.30%,"1,942,633"
KHUSHAB,"487,955",51.84%,"453,231",48.16%,"941,186"
KOT ADDU,"416,593",53.25%,"365,733",46.75%,"782,326"
LAHORE,"3,636,253",53.02%,"3,221,842",46.98%,"6,858,095"
LAYYAH,"596,645",53.18%,"525,340",46.82%,"1,121,985"
LODHRAN,"597,961",53.62%,"517,263",46.38%,"1,115,224"
MANDI BAHAUDDIN,"650,943",53.57%,"564,125",46.43%,"1,215,068"
MIANWALI,"560,289",52.44%,"508,233",47.56%,"1,068,522"
MULTAN,"1,640,497",52.75%,"1,469,694",47.25%,"3,110,191"
MURREE,"154,401",52.31%,"140,762",47.69%,"295,163"
MUZAFFARGARH,"947,211",53.54%,"822,089",46.46%,"1,769,300"
NANKANA SAHIB,"514,667",54.40%,"431,397",45.60%,"946,064"
NAROWAL,"670,963",54.19%,"567,177",45.81%,"1,238,140"
OKARA,"1,123,043",54.00%,"956,794",46.00%,"2,079,837"
PAKPATTAN,"648,261",53.84%,"555,875",46.16%,"1,204,136"
RAHIM YAR KHAN,"1,653,670",54.17%,"1,399,169",45.83%,"3,052,839"
RAJANPUR,"619,232",54.02%,"527,072",45.98%,"1,146,304"
RAWALPINDI,"1,703,511",51.51%,"1,603,574",48.49%,"3,307,085"
SAHIWAL,"944,245",54.04%,"802,960",45.96%,"1,747,205"
SARGODHA,"1,417,494",53.12%,"1,251,205",46.88%,"2,668,699"
SHEIKHUPURA,"1,163,194",55.04%,"950,351",44.96%,"2,113,545"
SIALKOT,"1,503,792",53.78%,"1,292,452",46.22%,"2,796,244"
TALAGANG,"219,172",50.98%,"210,761",49.02%,"429,933"
TAUNSA,"253,142",53.13%,"223,353",46.87%,"476,495"
TOBA TEK SINGH,"840,850",53.34%,"735,420",46.66%,"1,576,270"
VEHARI,"1,048,074",54.33%,"881,137",45.67%,"1,929,211"
WAZIRABAD,"346,741",53.60%,"300,131",46.40%,"646,872"
BADIN,"506,009",53.71%,"436,167",46.29%,"942,176"
DADU,"500,663",53.81%,"429,810",46.19%,"930,473"
GHOTKI,"492,379",54.07%,"418,283",45.93%,"910,662"
HYDERABAD,"662,713",54.09%,"562,434",45.91%,"1,225,147"
JACOBABAD,"316,562",53.47%,"275,444",46.53%,"592,006"
JAMSHORO,"258,834",54.26%,"218,228",45.74%,"477,062"
KAMBER SHAHDAD KOT,"448,329",54.64%,"372,129",45.36%,"820,458"
KARACHI CENTRAL,"1,153,192",53.76%,"991,734",46.24%,"2,144,926"
KARACHI EAST,"897,551",53.18%,"790,259",46.82%,"1,687,810"
KARACHI SOUTH,"687,696",54.13%,"582,868",45.87%,"1,270,564"
KARACHI WEST,"550,940",57.70%,"403,888",42.30%,"954,828"
KASHMORE,"319,033",54.01%,"271,696",45.99%,"590,729"
KEAMARI,"518,086",58.13%,"373,128",41.87%,"891,214"
KHAIRPUR,"720,581",52.64%,"648,188",47.36%,"1,368,769"
KORANGI KARACHI,"828,134",54.77%,"683,892",45.23%,"1,512,026"
LARKANA,"462,980",53.47%,"402,849",46.53%,"865,829"
MALIR,"467,222",56.64%,"357,651",43.36%,"824,873"
MATIARI,"221,177",52.96%,"196,452",47.04%,"417,629"
MIRPUR KHAS,"461,602",53.34%,"403,798",46.66%,"865,400"
NAUSHAHRO FEROZE,"508,301",53.89%,"434,864",46.11%,"943,165"
SAJAWAL,"233,078",54.93%,"191,250",45.07%,"424,328"
SANGHAR,"647,122",53.55%,"561,381",46.45%,"1,208,503"
SHAHEED BENAZIRABAD,"499,588",53.95%,"426,391",46.05%,"925,979"
SHIKARPUR,"383,992",53.09%,"339,257",46.91%,"723,249"
SUKKUR,"446,067",53.51%,"387,494",46.49%,"833,561"
TANDO ALLAHYAR,"239,910",53.12%,"211,722",46.88%,"451,632"
TANDO MUHAMMAD KHAN,"191,194",53.64%,"165,250",46.36%,"356,444"
THARPARKAR,"392,395",54.23%,"331,196",45.77%,"723,591"
THATTA,"286,354",54.82%,"236,032",45.18%,"522,386"
UMER KOT,"310,971",52.77%,"278,379",47.23%,"589,350"
Total,"69,263,704",53.87%,"59,322,056",46.13%,"128,585,760"
